,ageRange,gender,isLGBT+,continent,gmtOffset,education,isStudent,employmentStatus,weeklyConsFreq,sociallyAnxious,consumptionSources,platform,isPayer,prefersSubs,visQuality,storyQuality,characterRelatability,firstFavGenre,secondFavGenre,vTuberSub,consumesHMat,socInc,wantsMoreSeinen
454,1.0,Man,1.0,North America,-6.0,HS,1.0,PartTimer,7.0,1.0,Anime;Manga;Doujinshi;Light Novels,OTHER,0.0,1.0,8.0,9.0,9.0,Fantasy,Supernatural,1.0,1.0,Yes,1.0
455,1.0,Man,0.0,Europe,1.0,HS,1.0,Unemployed,6.0,0.0,Anime;Light Novels,AFSS,0.0,1.0,6.0,10.0,9.0,Comedy/SoL,Rom/Dram,0.0,1.0,Yes,1.0
456,2.0,Man,0.0,Europe,1.0,MS,0.0,FullTimer,7.0,1.0,Anime;Manga;Doujinshi;Light Novels,AFSS,1.0,1.0,5.0,5.0,1.0,Comedy/SoL,Fantasy,1.0,1.0,No,1.0
457,1.0,Man,0.0,North America,-5.0,HS,1.0,FullTimer,7.0,1.0,Anime;Manga;Doujinshi;Visual Novels,AFSS,1.0,1.0,8.0,9.0,5.0,Fantasy,Rom/Dram,0.0,1.0,Maybe,1.0
458,1.0,Man,0.0,North America,-8.0,AA/AS,0.0,Unemployed,1.0,1.0,Anime,GSS,0.0,0.0,9.0,7.0,8.0,Comedy/SoL,SciFi/M&M,0.0,1.0,No,0.0
459,0.0,Man,0.0,Europe,0.0,HSDropout,1.0,Unemployed,6.0,1.0,Anime,OTHER,0.0,1.0,7.0,9.0,7.0,Rom/Dram,Comedy/SoL,0.0,1.0,No,1.0
460,0.0,Man,0.0,North America,-8.0,HSDropout,1.0,Unemployed,6.0,1.0,Anime;Visual Novels,OTHER,0.0,1.0,8.0,10.0,3.0,Psycho,Comedy/SoL,0.0,1.0,Yes,1.0
461,2.0,Man,0.0,Europe,3.0,MS,0.0,FullTimer,7.0,1.0,Anime;Manga,OTHER,0.0,1.0,5.0,8.0,4.0,Psycho,Action,0.0,1.0,No,1.0
463,1.0,Man,0.0,North America,-4.0,BA/BS,1.0,Unemployed,7.0,1.0,Anime,AFSS,1.0,1.0,7.0,9.0,5.0,Comedy/SoL,Action,0.0,0.0,Yes,1.0
464,1.0,Man,0.0,North America,-8.0,BA/BS,0.0,Unemployed,7.0,0.0,Anime;Manga;Doujinshi,OTHER,0.0,1.0,6.0,5.0,5.0,Fantasy,Action,1.0,1.0,Maybe,1.0
465,1.0,Enby,1.0,Asia,8.0,HS,1.0,Unemployed,2.0,1.0,Anime;Manga;Doujinshi,OTHER,0.0,1.0,4.0,8.0,9.0,Comedy/SoL,Fantasy,0.0,1.0,Maybe,1.0
468,1.0,Man,0.0,Europe,0.0,HS,1.0,Unemployed,7.0,1.0,Anime;Manga;Doujinshi;Visual Novels,OTHER,0.0,1.0,6.0,7.0,3.0,SciFi/M&M,Psycho,0.0,1.0,Maybe,1.0
469,1.0,Man,0.0,Asia,5.5,MS,1.0,Unemployed,7.0,0.0,Anime;Manga;Doujinshi,OTHER,0.0,1.0,7.0,10.0,3.0,Comedy/SoL,Rom/Dram,0.0,0.0,Maybe,1.0
470,0.0,Man,0.0,North America,-8.0,HSDropout,1.0,Unemployed,4.0,0.0,Anime;Manga;Doujinshi;Visual Novels,GSS,0.0,0.0,8.0,7.0,5.0,Comedy/SoL,Fantasy,1.0,1.0,Maybe,1.0
471,1.0,Man,0.0,Australia,13.0,HS,1.0,PartTimer,4.0,0.0,Anime;Visual Novels,OTHER,0.0,0.0,7.0,3.0,3.0,Fantasy,Action,0.0,1.0,No,0.0
472,1.0,Man,0.0,Asia,2.0,HS,1.0,Unemployed,6.0,0.0,Anime,AFSS,0.0,1.0,7.0,9.0,5.0,Fantasy,Comedy/SoL,0.0,1.0,Maybe,1.0
473,1.0,Woman,0.0,North America,-6.0,HS,1.0,Unemployed,6.0,0.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,AFSS,1.0,1.0,1.0,6.0,9.0,Rom/Dram,Comedy/SoL,0.0,0.0,Maybe,0.0
474,0.0,Man,0.0,Asia,9.0,HSDropout,1.0,Unemployed,7.0,1.0,Anime;Manga,OTHER,0.0,1.0,8.0,10.0,10.0,Fantasy,Supernatural,1.0,0.0,Maybe,1.0
475,1.0,Man,0.0,Europe,1.0,HS,1.0,Unemployed,7.0,0.0,Anime;Manga;Doujinshi,OTHER,0.0,1.0,7.0,7.0,8.0,Comedy/SoL,Rom/Dram,0.0,1.0,Maybe,1.0
476,1.0,Man,1.0,Europe,0.0,HS,1.0,Unemployed,6.0,1.0,Anime;Manga,OTHER,0.0,1.0,6.0,9.0,9.0,Comedy/SoL,Rom/Dram,0.0,0.0,Maybe,1.0
477,1.0,Man,0.0,North America,-8.0,HS,0.0,Unemployed,7.0,1.0,Anime;Doujinshi;Light Novels,AFSS,1.0,0.0,4.0,10.0,7.0,Fantasy,Psycho,0.0,1.0,Yes,1.0
478,2.0,Man,0.0,North America,-8.0,HS,0.0,Unemployed,3.0,1.0,Anime;Manga;Doujinshi,OTHER,0.0,0.0,4.0,7.0,2.0,Supernatural,Comedy/SoL,1.0,1.0,No,1.0
479,4.0,Man,0.0,North America,-6.0,BA/BS,0.0,FullTimer,4.0,0.0,Anime;Manga;Light Novels,COPY,0.0,0.0,5.0,7.0,6.0,Rom/Dram,Comedy/SoL,0.0,0.0,Yes,1.0
481,1.0,Man,1.0,North America,-6.0,HS,0.0,FullTimer,3.0,1.0,Anime;Manga,GSS,0.0,0.0,4.0,7.0,4.0,Supernatural,Rom/Dram,1.0,1.0,Maybe,1.0
